# populationModel.Simulation run on Wed Jan 13 22:41:39 CET 2021
time, populationF, populationM, birthsF, birthsM, immigrationsF, immigrationsM, deathsF, deathsM, emigrationsF, emigrationsM
1, 996, 991, 7, 8, 7, 8, 13, 11, 5, 14
2, 988, 982, 11, 6, 4, 9, 11, 11, 12, 13
3, 979, 965, 9, 11, 4, 0, 12, 18, 10, 10
4, 979, 966, 12, 11, 8, 4, 10, 7, 10, 7
5, 975, 964, 12, 9, 5, 3, 13, 8, 8, 6
6, 962, 961, 14, 8, 4, 4, 16, 12, 15, 3
7, 963, 965, 9, 9, 10, 8, 15, 9, 3, 4
8, 962, 966, 12, 13, 2, 4, 7, 8, 8, 8
9, 958, 959, 11, 10, 7, 2, 12, 11, 10, 8
10, 948, 947, 5, 9, 7, 4, 15, 12, 7, 13
11, 942, 939, 9, 7, 4, 7, 14, 10, 5, 12
12, 934, 937, 6, 11, 3, 7, 9, 8, 8, 12
