# Simulation run on Fri Jan 08 18:06:24 CET 2021
time, populationF, populationM, births, immigrationsF, immigrationsM, deathsF, deathsM, emigrationsF, emigrationsM
0, 100407, 100418, 4987, 0, 0, 1257, 1221, 837, 847
1, 100949, 100944, 4995, 133, 138, 1241, 1229, 844, 880
2, 101443, 101587, 5062, 105, 119, 1223, 1220, 852, 848
3, 102132, 102152, 5176, 138, 132, 1233, 1338, 809, 808
4, 102681, 102767, 5222, 126, 127, 1259, 1287, 909, 855
5, 103089, 103300, 4988, 132, 140, 1284, 1309, 864, 855
6, 103635, 103813, 5057, 142, 136, 1288, 1308, 856, 812
7, 104351, 104459, 5392, 131, 120, 1284, 1308, 848, 836
8, 105074, 104991, 5372, 124, 112, 1208, 1356, 864, 918
9, 105689, 105445, 5249, 126, 136, 1305, 1364, 866, 896
10, 106312, 105941, 5299, 129, 105, 1258, 1343, 907, 897
11, 106910, 106558, 5392, 130, 114, 1327, 1312, 899, 880
12, 107545, 107108, 5405, 126, 136, 1301, 1392, 882, 900
13, 108139, 107629, 5293, 135, 126, 1303, 1363, 874, 892
14, 108745, 108184, 5423, 115, 130, 1367, 1378, 863, 894
15, 109251, 108793, 5426, 126, 135, 1361, 1339, 922, 947
16, 109726, 109519, 5494, 128, 129, 1374, 1357, 918, 900
17, 110367, 110110, 5607, 109, 126, 1322, 1393, 928, 953
18, 110963, 110633, 5491, 105, 132, 1382, 1394, 885, 945
19, 111523, 111171, 5487, 105, 120, 1325, 1368, 976, 941
20, 112217, 111689, 5624, 139, 122, 1358, 1384, 935, 992
21, 112729, 112192, 5589, 124, 112, 1428, 1406, 952, 1023
22, 113256, 112786, 5673, 140, 113, 1401, 1466, 968, 960
23, 113736, 113379, 5689, 110, 120, 1398, 1472, 1009, 961
24, 114291, 113942, 5546, 142, 114, 1421, 1389, 910, 954
25, 114989, 114503, 5833, 124, 123, 1424, 1490, 923, 977
26, 115627, 115033, 5799, 114, 149, 1434, 1481, 959, 1018
27, 116209, 115766, 5908, 122, 132, 1480, 1438, 968, 954
28, 116949, 116268, 5758, 125, 139, 1363, 1519, 951, 942
29, 117584, 116711, 5774, 131, 123, 1530, 1485, 920, 1010
30, 118263, 117294, 5941, 125, 132, 1502, 1483, 954, 989
31, 118916, 117868, 5886, 128, 116, 1480, 1437, 989, 987
32, 119444, 118410, 5852, 130, 132, 1501, 1563, 977, 998
33, 120150, 119117, 6010, 119, 123, 1418, 1453, 980, 984
34, 120764, 119760, 5915, 121, 139, 1489, 1485, 966, 970
35, 121461, 120303, 6006, 113, 130, 1435, 1521, 1035, 1013
36, 122164, 120971, 6196, 127, 129, 1532, 1465, 1062, 1021
37, 122809, 121692, 6209, 145, 127, 1517, 1534, 1065, 990
38, 123309, 122381, 6066, 127, 130, 1504, 1559, 1070, 992
39, 123942, 123057, 6221, 130, 122, 1541, 1511, 1060, 1042
40, 124598, 123635, 6206, 140, 132, 1552, 1572, 1039, 1074
41, 125229, 124246, 6260, 113, 102, 1508, 1519, 1123, 1075
42, 125833, 124857, 6226, 122, 121, 1544, 1550, 1095, 1064
43, 126380, 125466, 6188, 131, 120, 1585, 1612, 1043, 1038
44, 126961, 125907, 6263, 107, 140, 1598, 1676, 1109, 1098
45, 127579, 126579, 6327, 125, 147, 1591, 1524, 1077, 1109
46, 128260, 127330, 6517, 122, 121, 1560, 1550, 1095, 1116
47, 128942, 127910, 6392, 139, 113, 1622, 1646, 999, 1108
48, 129674, 128596, 6507, 126, 118, 1582, 1621, 1048, 1073
49, 130395, 129118, 6459, 143, 145, 1620, 1663, 1101, 1117
50, 131063, 129857, 6571, 126, 102, 1593, 1599, 1135, 1058
51, 131734, 130447, 6535, 116, 118, 1659, 1661, 1088, 1093
52, 132468, 131090, 6634, 110, 111, 1654, 1684, 1043, 1093
53, 133330, 131718, 6657, 124, 119, 1547, 1746, 1045, 1066
54, 134014, 132336, 6607, 128, 120, 1680, 1687, 1115, 1066
55, 134689, 133187, 6829, 131, 120, 1668, 1652, 1152, 1077
56, 135258, 133854, 6573, 126, 128, 1638, 1696, 1124, 1126
57, 135841, 134441, 6665, 102, 118, 1663, 1724, 1180, 1146
58, 136498, 135105, 6831, 116, 128, 1726, 1694, 1157, 1170
59, 137321, 135784, 6911, 114, 120, 1688, 1657, 1161, 1128
60, 137908, 136456, 6797, 122, 130, 1698, 1751, 1193, 1145
61, 138617, 137091, 6889, 95, 123, 1690, 1707, 1181, 1181
62, 139460, 137689, 7006, 101, 124, 1704, 1717, 1179, 1186
63, 140291, 138249, 7045, 139, 123, 1705, 1819, 1177, 1207
64, 141009, 138988, 7091, 133, 136, 1803, 1821, 1176, 1098
65, 141622, 139650, 6963, 125, 124, 1767, 1797, 1218, 1151
66, 142476, 140341, 7119, 115, 122, 1751, 1710, 1131, 1213
67, 143195, 141043, 7089, 134, 129, 1780, 1768, 1242, 1132
68, 143907, 141851, 7192, 128, 107, 1785, 1745, 1206, 1164
69, 144693, 142428, 7210, 136, 148, 1861, 1825, 1202, 1235
70, 145436, 143193, 7318, 128, 129, 1829, 1849, 1222, 1160
71, 146177, 143928, 7328, 115, 118, 1850, 1815, 1235, 1175
72, 146805, 144670, 7165, 118, 130, 1826, 1740, 1219, 1247
73, 147630, 145452, 7373, 130, 130, 1802, 1831, 1177, 1207
74, 148291, 146028, 7274, 114, 110, 1847, 1886, 1250, 1274
75, 148965, 146746, 7381, 124, 136, 1832, 1891, 1242, 1277
76, 149850, 147358, 7449, 130, 156, 1814, 1917, 1225, 1276
77, 150627, 148230, 7634, 122, 132, 1873, 1868, 1290, 1202
78, 151369, 149027, 7618, 101, 127, 1951, 1933, 1245, 1174
79, 152114, 150015, 7585, 120, 146, 1849, 1779, 1276, 1208
80, 152815, 150659, 7604, 125, 129, 1875, 1894, 1359, 1380
81, 153546, 151415, 7597, 143, 139, 1887, 1954, 1307, 1240
82, 154295, 152262, 7761, 116, 148, 1877, 1955, 1347, 1249
83, 154999, 153032, 7705, 112, 127, 1958, 1889, 1302, 1317
84, 155879, 153789, 7798, 120, 118, 1840, 1926, 1337, 1291
85, 156602, 154612, 7834, 121, 131, 2031, 1928, 1296, 1279
86, 157456, 155334, 7882, 129, 97, 1930, 1980, 1295, 1320
87, 158246, 156019, 7932, 114, 132, 2015, 2029, 1286, 1367
88, 159060, 156792, 8027, 127, 133, 1980, 2056, 1351, 1304
89, 159919, 157553, 7967, 119, 122, 1960, 1956, 1334, 1328
90, 160700, 158269, 8011, 124, 128, 2000, 2048, 1362, 1350
91, 161518, 159185, 8153, 126, 133, 1965, 2012, 1389, 1307
92, 162298, 160111, 8219, 118, 135, 2063, 2002, 1363, 1334
93, 163034, 161087, 8270, 108, 118, 2035, 1977, 1413, 1354
94, 163844, 161853, 8179, 128, 108, 2044, 2049, 1377, 1357
95, 164583, 162690, 8165, 119, 124, 1977, 1984, 1471, 1395
96, 165392, 163501, 8328, 148, 113, 2108, 2087, 1404, 1367
97, 166246, 164276, 8175, 123, 117, 1976, 2077, 1365, 1363
98, 167169, 165062, 8318, 141, 142, 1986, 2142, 1384, 1370
99, 168106, 165884, 8403, 122, 115, 2102, 2075, 1327, 1372
100, 168762, 166889, 8468, 116, 137, 2192, 2056, 1459, 1345
101, 169657, 167745, 8422, 122, 132, 2080, 2086, 1355, 1397
102, 170493, 168681, 8640, 125, 127, 2154, 2115, 1477, 1366
103, 171178, 169433, 8452, 115, 120, 2155, 2162, 1475, 1447
104, 171976, 170131, 8457, 114, 128, 2146, 2209, 1432, 1410
105, 172881, 170937, 8558, 118, 139, 2082, 2135, 1438, 1443
106, 173761, 171839, 8713, 134, 120, 2117, 2192, 1513, 1358
107, 174706, 172709, 8794, 150, 134, 2220, 2129, 1447, 1461
108, 175641, 173662, 8958, 125, 123, 2200, 2139, 1472, 1500
109, 176559, 174472, 8834, 119, 132, 2163, 2272, 1486, 1431
110, 177517, 175168, 8908, 145, 121, 2203, 2252, 1512, 1546
111, 178469, 176015, 9070, 118, 133, 2231, 2299, 1494, 1493
112, 179270, 176800, 8934, 147, 101, 2308, 2258, 1510, 1517
113, 180052, 177637, 9019, 129, 109, 2305, 2318, 1517, 1490
114, 181046, 178632, 9200, 120, 136, 2182, 2328, 1475, 1476
115, 181855, 179457, 9119, 112, 111, 2273, 2329, 1560, 1541
116, 182748, 180412, 9230, 114, 138, 2280, 2288, 1536, 1527
117, 183581, 181397, 9242, 140, 140, 2314, 2309, 1528, 1545
118, 184462, 182330, 9225, 140, 135, 2303, 2291, 1522, 1560
119, 185376, 183064, 9158, 123, 124, 2278, 2344, 1492, 1634
120, 186159, 183938, 9193, 136, 125, 2345, 2351, 1555, 1544
121, 187088, 184869, 9401, 119, 145, 2328, 2353, 1537, 1582
122, 187980, 185645, 9227, 128, 131, 2267, 2379, 1581, 1584
123, 188849, 186509, 9481, 125, 101, 2363, 2389, 1629, 1587
124, 189931, 187467, 9610, 125, 122, 2325, 2371, 1534, 1580
125, 190790, 188306, 9358, 134, 124, 2393, 2345, 1587, 1587
126, 191536, 189138, 9490, 137, 118, 2383, 2380, 1711, 1689
127, 192700, 190185, 9815, 141, 111, 2367, 2394, 1579, 1504
128, 193664, 191078, 9681, 105, 131, 2434, 2445, 1590, 1591
129, 194520, 192011, 9633, 106, 143, 2431, 2408, 1652, 1595
130, 195583, 192993, 9917, 121, 117, 2381, 2442, 1635, 1648
131, 196442, 193958, 9717, 121, 123, 2432, 2424, 1665, 1608
132, 197351, 194970, 9869, 112, 114, 2401, 2466, 1707, 1598
133, 198302, 195794, 9964, 149, 144, 2486, 2559, 1737, 1688
134, 199247, 196699, 9924, 105, 108, 2510, 2491, 1656, 1625
135, 200139, 197745, 9982, 104, 119, 2466, 2473, 1708, 1614
136, 201154, 198844, 10166, 129, 129, 2518, 2501, 1648, 1637
137, 202359, 199722, 10176, 134, 103, 2398, 2530, 1680, 1717
138, 203409, 200637, 10207, 146, 116, 2541, 2504, 1689, 1761
139, 204384, 201714, 10370, 125, 99, 2588, 2538, 1740, 1674
140, 205402, 202925, 10352, 137, 141, 2496, 2492, 1742, 1669
141, 206405, 203845, 10304, 131, 130, 2568, 2589, 1717, 1759
142, 207262, 204869, 10347, 120, 132, 2618, 2534, 1819, 1746
143, 208343, 205770, 10501, 111, 120, 2591, 2680, 1658, 1810
144, 209387, 206553, 10425, 131, 126, 2561, 2678, 1798, 1811
145, 210174, 207529, 10411, 119, 118, 2689, 2617, 1809, 1762
146, 211161, 208622, 10578, 109, 112, 2680, 2581, 1740, 1714
147, 212136, 209622, 10599, 114, 104, 2581, 2678, 1788, 1787
148, 212985, 210531, 10463, 110, 133, 2625, 2698, 1798, 1820
